repo,node,link,path,title or task,content type,task priority,linktitle,description,weight,lines,word_count,h2_sections,h3_sections,code_blocks,snippets,images,internal_links,external_links,has_admonition,http_status,notes
user-guide,A00,"=HYPERLINK(""https://kubevirt.io/user-guide/index"",""link"")",index.md,Welcome,How-to,,,,,60,216,5,0,0,,0,1,4,,200,
user-guide,A01,"=HYPERLINK(""https://kubevirt.io/user-guide/architecture"",""link"")",architecture.md,Architecture,Explanation,,,,,469,1835,8,10,7,yaml,2,5,4,yes,200,
user-guide,A02,"=HYPERLINK(""https://kubevirt.io/user-guide/quickstarts"",""link"")",quickstarts.md,,How-to,,,,,20,37,1,0,0,,0,0,4,,200,
user-guide,A03-B00,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/installation"",""link"")",cluster_admin/installation.md,Installation,How-to,,,,,261,1321,8,6,2,yaml,0,1,10,,200,
user-guide,A03-B01,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/updating_and_deletion"",""link"")",cluster_admin/updating_and_deletion.md,Updating and deletion,How-to,,,,,178,865,3,0,5,yaml,0,0,0,yes,200,
user-guide,A03-B02,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/activating_feature_gates"",""link"")",cluster_admin/activating_feature_gates.md,Activating and deactivating feature gates,How-to,,,,,99,213,3,0,6,bash yaml,0,0,2,yes,200,
user-guide,A03-B03,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/annotations_and_labels"",""link"")",cluster_admin/annotations_and_labels.md,Annotations and labels,How-to,,,,,42,181,1,2,0,,0,0,1,,200,
user-guide,A03-B04,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/api_validation"",""link"")",cluster_admin/api_validation.md,API Validation,Reference,,,,,73,431,1,4,2,,0,0,0,,200,
user-guide,A03-B05,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/authorization"",""link"")",cluster_admin/authorization.md,Authorization,Reference,,,,,273,949,3,5,6,yaml,0,1,1,,200,
user-guide,A03-B06,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/confidential_computing"",""link"")",cluster_admin/confidential_computing.md,Confidential computing,Tutorial,,,,,220,575,3,10,5,yaml,0,6,4,,200,
user-guide,A03-B07,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/customize_components"",""link"")",cluster_admin/customize_components.md,,How-to,,,,,82,189,1,2,3,yaml,0,0,2,,200,
user-guide,A03-B08,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/gitops"",""link"")",cluster_admin/gitops.md,Managing KubeVirt with GitOps,How-to,,,,,19,133,1,0,0,,0,0,3,,200,
user-guide,A03-B09,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/ksm"",""link"")",cluster_admin/ksm.md,KSM Management,How-to,,,,,93,324,3,0,4,yaml,0,0,4,,200,
user-guide,A03-B10,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/migration_policies"",""link"")",cluster_admin/migration_policies.md,Migration Policies,Explanation,,,,,170,685,3,1,5,yaml,0,1,2,,200,
user-guide,A03-B11,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/node_maintenance"",""link"")",cluster_admin/node_maintenance.md,Node maintenance,How-to,,,,,165,797,6,2,1,yaml,0,1,0,,200,
user-guide,A03-B12,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/scheduler"",""link"")",cluster_admin/scheduler.md,KubeVirt Scheduler,How-to,,,,,113,285,2,0,6,shell yaml,0,0,6,,200,
user-guide,A03-B13,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/tekton_tasks"",""link"")",cluster_admin/tekton_tasks.md,KubeVirt Tekton,Tutorial,,,,,63,514,1,4,0,,0,1,11,yes,200,
user-guide,A03-B14,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/unresponsive_nodes"",""link"")",cluster_admin/unresponsive_nodes.md,Unresponsive nodes,How-to,,,,,90,484,4,0,0,,0,0,0,,200,
user-guide,A03-B15,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/device_status_on_arm64"",""link"")",cluster_admin/device_status_on_Arm64.md,Device Status on Arm64,Reference,,,,,25,161,0,0,0,,0,0,0,,404,
user-guide,A03-B16,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/feature_gate_status_on_arm64"",""link"")",cluster_admin/feature_gate_status_on_Arm64.md,Feature Gate Status on Arm64,Reference,,,,,39,434,0,0,0,,0,0,0,,404,
user-guide,A03-B17,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/operations_on_arm64"",""link"")",cluster_admin/operations_on_Arm64.md,Arm64 Operations,How-to,,,,,23,131,5,0,0,,0,0,0,,404,
